_key,ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,,2569356727,plays
10,2024-02-05T18:19:15Z,ios,35121,US,73.11.100.100,More Holiness Give Me,Ronald Staheli,Let Us All Press On: Hymns of Praise and Inspiration,spotify:track:2ucOKKbuUsnd9NLVKUcdrh,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1707157119,FALSE,,,
11,2024-02-05T18:24:12Z,ios,298186,US,73.11.100.100,"Be Still, My Soul",Johann Sebastian Bach,100 Years: Celebrating a Century of Recording Excellence,spotify:track:46aRfPg3yedW0t1xuBnUGd,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1707157156,FALSE,,,
12,2024-02-05T18:25:47Z,ios,100200,US,73.11.100.100,"A Mighty Fortress is Our God from Cantata No. 80, BWV 80 - Voice",Harding University Concert Choir,20 Great Bach & Handel Choruses,spotify:track:75FtHkkBTIOIYVEBwn3H7e,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707157447,FALSE,,,
13,2024-02-05T18:27:45Z,ios,123373,US,73.11.100.100,I Come to the Garden Alone,The Concordia Choir,Mansions Over the Hilltop,spotify:track:5f0qB7vYddDLTckLDA37lJ,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707157542,FALSE,,,
14,2024-02-05T18:41:52Z,ios,103398,US,73.11.100.100,Create in Me a Clean Heart,PinkPantheress,My Soul's Delight,spotify:track:16BjLOcNBxWq5Cnc6itd3X,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707157660,FALSE,,,
15,2024-02-05T19:44:03Z,ios,166555,US,73.11.100.100,As the Bridegroom to His Chosen,Gwen Stefani,Consider the Lilies,spotify:track:0bn1qWi85flVI38skGGgQ8,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707158507,FALSE,,,
16,2024-02-05T19:44:26Z,ios,10730,US,73.11.100.100,Boy's a liar Pt. 2,Wolf Alice,Heaven knows,spotify:track:5CCr8msaN3MhgqBoa9yWhH,,,,clickrow,fwdbtn,FALSE,TRUE,FALSE,1707162244,FALSE,,,
17,2024-02-05T19:46:22Z,ios,116213,US,73.11.100.100,Just for Me,Gregory Alan Isakov,to hell with it,spotify:track:1Vrj9Vcbb0lOG94pQbYvzv,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1707162266,FALSE,,,
18,2024-02-05T19:47:55Z,ios,98544,US,73.11.100.100,Pain,Manchester Orchestra,to hell with it,spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707162377,FALSE,,,
19,2024-02-05T19:49:26Z,ios,96133,US,73.11.100.100,Break It Off - Bonus,Billie Marten,to hell with it,spotify:track:78ul3D77noQsYjSwvwiPU1,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707162470,FALSE,,,
20,2024-02-05T19:50:26Z,ios,65337,US,73.11.100.100,Attracted to You,Lizzy McAlpine,Attracted To You,spotify:track:4fPjI40ElIwJQ4DJJxSCOe,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707162560,FALSE,,,
21,2024-02-05T19:50:26Z,ios,2131,US,73.11.100.100,Nice to meet you (feat. Central Cee),Sufjan Stevens,Heaven knows,spotify:track:1jLVSavLHTeEixX6CIxqQR,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707162623,FALSE,,,
22,2024-02-05T19:52:24Z,ios,118813,US,73.11.100.100,All My Friends Know,Searows,to hell with it,spotify:track:3ZpqeV6u8cheGopIXQlHfH,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707162627,FALSE,,,
23,2024-02-05T19:54:58Z,ios,153306,US,73.11.100.100,Nineteen,Wasia Project,to hell with it,spotify:track:5XmI1062gtk39XjFMRye0K,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707162744,FALSE,,,
24,2024-02-05T19:58:11Z,ios,38408,US,73.11.100.100,Break It Off - Bonus,Hozier,to hell with it,spotify:track:78ul3D77noQsYjSwvwiPU1,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1707162897,FALSE,,,
25,2024-02-05T19:59:49Z,ios,98544,US,73.11.100.100,Pain,Bon Iver,to hell with it,spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1707163091,FALSE,,,
26,2024-02-05T20:01:37Z,ios,108373,US,73.11.100.100,I Must Apologise,Phoebe Bridgers,to hell with it,spotify:track:2rrq3SGYxk90xLx5fMmPhZ,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707163189,FALSE,,,
27,2024-02-05T22:27:29Z,ios,227680,US,73.11.100.100,Used To Love You,Victoria Monét,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707171822,FALSE,,,
28,2024-02-05T22:31:17Z,ios,227680,US,73.11.100.100,Used To Love You,When In Rome,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707172049,FALSE,,,
29,2024-02-05T22:35:04Z,ios,227680,US,73.11.100.100,Used To Love You,Mariah Carey,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707172277,FALSE,,,
30,2024-02-05T22:38:52Z,ios,227680,US,73.11.100.100,Used To Love You,Steve Lacy,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707172505,FALSE,,,
31,2024-02-05T22:42:41Z,ios,227680,US,73.11.100.100,Used To Love You,Twenty One Pilots,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707172733,FALSE,,,
32,2024-02-05T22:46:30Z,ios,227680,US,73.11.100.100,Used To Love You,Spectacular! Cast,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707172961,FALSE,,,
33,2024-02-05T22:50:17Z,ios,227680,US,73.11.100.100,Used To Love You,Kanye West,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707173190,FALSE,,,
34,2024-02-05T22:54:05Z,ios,227680,US,73.11.100.100,Used To Love You,Destiny's Child,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707173418,FALSE,,,
35,2024-02-06T00:19:07Z,ios,43791,US,107.122.84.148,Last Valentines,Tyler James Williams,to hell with it,spotify:track:5aX9ocVkS6HqK5orEbsOoe,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707163297,FALSE,,,
36,2024-02-06T00:23:41Z,ios,275226,US,107.122.84.148,Don't Delete The Kisses,Coco Jones,Visions Of A Life,spotify:track:3K94Fd5ZQkPCW8wV6oyk22,,,,playbtn,trackdone,TRUE,FALSE,FALSE,1707178748,FALSE,,,
37,2024-02-06T00:27:13Z,ios,217466,US,107.122.84.148,Big Black Car,The Smiths,This Empty Northern Hemisphere,spotify:track:3Kj2EWpIBnvETsYq4cq0IH,,,,trackdone,trackdone,TRUE,FALSE,FALSE,1707179016,FALSE,,,
38,2024-02-06T00:31:01Z,ios,233226,US,107.122.84.148,The Gold - Phoebe Bridgers Version,2Pac,The Gold,spotify:track:7qcXUzPwoxSBFxjTbNrV0B,,,,trackdone,trackdone,TRUE,FALSE,FALSE,1707179228,FALSE,,,
39,2024-02-06T00:34:02Z,ios,187265,US,107.122.84.148,La Lune,Geto Boys,Writing of Blues and Yellows (Deluxe Version),spotify:track:0DwaOWI1kC2s98qLj0LTDd,,,,trackdone,trackdone,TRUE,FALSE,FALSE,1707179456,FALSE,,,
40,2024-02-06T00:38:20Z,ios,263159,US,107.122.84.148,doomsday,Rachel Zegler,five seconds flat,spotify:track:4WjxtORnwPavm5PDsAWJEc,,,,trackdone,trackdone,TRUE,FALSE,FALSE,1707179638,FALSE,,,
41,2024-02-06T00:38:20Z,ios,0,US,107.122.84.148,Death with Dignity,The Intruders,Carrie & Lowell,spotify:track:73uJybGAhwGRD9MZYrOmTY,,,,trackdone,fwdbtn,TRUE,TRUE,FALSE,1707179901,FALSE,,,
42,2024-02-06T00:38:21Z,ios,1045,US,107.122.84.148,House Song,Aretha Franklin,House Song,spotify:track:1kr0XkYcWe2HTuCFN3BuGA,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1707179902,FALSE,,,
43,2024-02-06T00:38:23Z,ios,1301,US,107.122.84.148,ur so pretty,Jack Johnson,how can i pretend?,spotify:track:1Jt24MPLz6fGXSCTlXTjzF,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1707179903,FALSE,,,
44,2024-02-06T00:38:24Z,ios,895,US,107.122.84.148,Like Real People Do,Daryl Hall & John Oates,Hozier (Expanded Edition),spotify:track:57V4uc2b2diZ4RPHXWecb9,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,1707179904,FALSE,,,
45,2024-02-06T00:42:05Z,ios,220720,US,107.122.84.148,For Emma,Pretty Boy Aaron,"For Emma, Forever Ago",spotify:track:2nilAlGEZmwyaLTMMyDdLo,,,,fwdbtn,trackdone,TRUE,FALSE,FALSE,1707179905,FALSE,,,
46,2024-02-06T00:47:24Z,ios,324773,US,107.122.84.148,Smoke Signals,the bird and the bee,Stranger in the Alps,spotify:track:5w52BJAqGkV1ewaCVLmjhi,,,,trackdone,trackdone,TRUE,FALSE,FALSE,1707180120,FALSE,,,
47,2024-02-06T01:36:22Z,ios,5925,US,107.122.84.148,Graceland Too,Black Eyed Peas,Punisher,spotify:track:1WCjhRs2WBgyeGaybCX2Po,,,,trackdone,endplay,TRUE,TRUE,FALSE,1707180439,FALSE,,,
48,2024-02-06T01:36:31Z,ios,7040,US,107.122.84.148,On My Mama,Djo,JAGUAR II,spotify:track:7DswEZZthZ6piQpL25qGAM,,,,clickrow,endplay,FALSE,TRUE,FALSE,1707183383,FALSE,,,
49,2024-02-06T01:36:32Z,ios,597,US,107.122.84.148,We Might Even Be Falling In Love (Duet) - Spotify Singles,Dead On A Sunday,We Might Even Be Falling In Love (Duet) - Spotify Singles,spotify:track:0wOtc2nY3NOohp4xSwOyTN,,,,clickrow,endplay,FALSE,TRUE,FALSE,1707183392,FALSE,,,
50,2024-02-06T01:37:08Z,ios,37471,US,107.122.84.148,We Might Even Be Falling In Love (Interlude),La Roux,JAGUAR,spotify:track:4rCuwgRRKaIiHlHDc8Bga6,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707183393,FALSE,,,
51,2024-02-06T01:38:02Z,ios,58589,US,73.11.100.100,We Might Even Be Falling In Love (Duet) - Spotify Singles,Robyn,We Might Even Be Falling In Love (Duet) - Spotify Singles,spotify:track:0wOtc2nY3NOohp4xSwOyTN,,,,trackdone,logout,FALSE,FALSE,FALSE,1707183424,FALSE,,,
52,2024-02-06T03:17:59Z,ios,65360,US,73.11.100.100,Used To Love You,Phantogram,This Is What The Truth Feels Like,spotify:track:7dhB1xznh2bbCWrFjCSH5x,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707173646,FALSE,,,
53,2024-02-06T03:25:32Z,ios,453040,US,73.11.100.100,The Promise,Sky Ferreira,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707189480,FALSE,,,
54,2024-02-06T03:29:14Z,ios,220960,US,73.11.100.100,The Promise,Beach House,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707189933,FALSE,,,
55,2024-02-06T03:32:55Z,ios,220960,US,73.11.100.100,The Promise,Sharon Van Etten,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707190154,FALSE,,,
56,2024-02-06T03:36:37Z,ios,220960,US,73.11.100.100,The Promise,Fiona Apple,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707190376,FALSE,,,
57,2024-02-06T03:38:20Z,ios,101843,US,73.11.100.100,The Promise,The 1975,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707190597,FALSE,,,
58,2024-02-06T03:43:05Z,ios,285706,US,73.11.100.100,Heartbreaker (feat. Jay-Z),Jimmy Eat World,Rainbow,spotify:track:0jsANwwkkHyyeNyuTFq2XO,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707190701,FALSE,,,
59,2024-02-06T03:43:12Z,ios,5018,US,73.11.100.100,Heartbreaker (feat. Jay-Z),The Features,Rainbow,spotify:track:0jsANwwkkHyyeNyuTFq2XO,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707190985,FALSE,,,
60,2024-02-06T04:46:16Z,ios,209699,US,73.11.100.100,Bad Habit,Electric Guest,Bad Habit,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,,,,clickrow,endplay,FALSE,TRUE,FALSE,1707190992,FALSE,,,
61,2024-02-06T04:49:50Z,ios,214506,US,73.11.100.100,Ride,The Neighbourhood,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707194776,FALSE,,,
62,2024-02-06T04:53:25Z,ios,214506,US,73.11.100.100,Ride,Young the Giant,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707194990,FALSE,,,
63,2024-02-06T04:57:00Z,ios,214506,US,73.11.100.100,Ride,The Last Dinner Party,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707195205,FALSE,,,
64,2024-02-06T05:00:35Z,ios,214506,US,73.11.100.100,Ride,Her's,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707195420,FALSE,,,
65,2024-02-06T05:04:10Z,ios,214506,US,73.11.100.100,Ride,Suki Waterhouse,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707195635,FALSE,,,
66,2024-02-06T05:07:45Z,ios,214506,US,73.11.100.100,Ride,Clairo,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707195850,FALSE,,,
67,2024-02-06T05:11:20Z,ios,214506,US,73.11.100.100,Ride,Maggie Rogers,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707196065,FALSE,,,
68,2024-02-06T05:14:55Z,ios,214506,US,73.11.100.100,Ride,The Walters,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707196280,FALSE,,,
69,2024-02-06T05:18:30Z,ios,214506,US,73.11.100.100,Ride,Gus Dapperton,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707196495,FALSE,,,
70,2024-02-06T05:22:05Z,ios,214506,US,73.11.100.100,Ride,MINOVA,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707196710,FALSE,,,
71,2024-02-06T05:25:40Z,ios,214506,US,73.11.100.100,Ride,Holly Humberstone,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707196925,FALSE,,,
72,2024-02-06T05:29:15Z,ios,214506,US,73.11.100.100,Ride,Mac DeMarco,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707197140,FALSE,,,
73,2024-02-06T05:32:50Z,ios,214506,US,73.11.100.100,Ride,Strawberry Guy,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707197355,FALSE,,,
74,2024-02-06T05:36:25Z,ios,214506,US,73.11.100.100,Ride,Bazzi,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707197570,FALSE,,,
75,2024-02-06T05:40:00Z,ios,214506,US,73.11.100.100,Ride,A$AP Rocky,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707197785,FALSE,,,
76,2024-02-06T05:43:35Z,ios,214506,US,73.11.100.100,Ride,Jidenna,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707198000,FALSE,,,
77,2024-02-06T05:47:10Z,ios,214506,US,73.11.100.100,Ride,Chance the Rapper,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707198215,FALSE,,,
78,2024-02-06T05:50:45Z,ios,214506,US,73.11.100.100,Ride,Labi Siffre,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707198430,FALSE,,,
79,2024-02-06T05:54:20Z,ios,214506,US,73.11.100.100,Ride,Smokey Robinson & The Miracles,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707198645,FALSE,,,
80,2024-02-06T05:57:55Z,ios,214506,US,73.11.100.100,Ride,Kali Uchis,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707198860,FALSE,,,
81,2024-02-06T06:01:30Z,ios,214506,US,73.11.100.100,Ride,USHER,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707199075,FALSE,,,
82,2024-02-06T06:05:04Z,ios,214506,US,73.11.100.100,Ride,The Kooks,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707199290,FALSE,,,
83,2024-02-06T06:08:40Z,ios,214506,US,73.11.100.100,Ride,Kate Bush,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707199505,FALSE,,,
84,2024-02-06T13:50:11Z,ios,157130,US,73.11.100.100,Ride,Flume,Blurryface,spotify:track:2Z8WuEywRWYTKe1NybPQEW,,,,trackdone,endplay,FALSE,TRUE,FALSE,1707199720,FALSE,,,
85,2024-02-06T13:53:51Z,ios,220960,US,73.11.100.100,The Promise,DNCE,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707227411,FALSE,,,
86,2024-02-06T14:01:32Z,ios,423158,US,73.11.100.100,The Promise,Justin Bieber,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707227631,FALSE,,,
87,2024-02-06T14:05:14Z,ios,220960,US,73.11.100.100,The Promise,Childish Gambino,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707228093,FALSE,,,
88,2024-02-06T14:08:55Z,ios,220960,US,73.11.100.100,The Promise,,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707228314,FALSE,,,
89,2024-02-06T14:12:39Z,ios,220960,US,73.11.100.100,The Promise,Angus & Julia Stone,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707228536,FALSE,,,
90,2024-02-06T14:14:12Z,ios,93168,US,73.11.100.100,The Promise,Agnes Obel,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707228759,FALSE,,,
91,2024-02-06T14:17:54Z,ios,220960,US,73.11.100.100,The Promise,Wiz Khalifa,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707228853,FALSE,,,
92,2024-02-06T14:21:55Z,ios,240300,US,107.122.84.19,The Promise,Lil Xan,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707229074,FALSE,,,
93,2024-02-06T14:25:36Z,ios,220960,US,107.122.84.19,The Promise,Post Malone,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707229315,FALSE,,,
94,2024-02-06T14:29:17Z,ios,220960,US,107.122.84.19,The Promise,Lil Yachty,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707229537,FALSE,,,
95,2024-02-06T14:32:59Z,ios,220960,US,107.122.84.19,The Promise,Bruno Mars,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707229758,FALSE,,,
96,2024-02-06T14:36:41Z,ios,220960,US,107.122.84.19,The Promise,Sam Smith,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707229980,FALSE,,,
97,2024-02-06T14:40:22Z,ios,220960,US,107.122.84.19,The Promise,YNW Melly,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707230201,FALSE,,,
98,2024-02-06T14:47:30Z,ios,427261,US,107.122.84.19,The Promise,Jeremih,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707230422,FALSE,,,
99,2024-02-06T14:51:10Z,ios,220960,US,107.122.84.19,The Promise,50 Cent,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707230850,FALSE,,,
100,2024-02-06T14:54:52Z,ios,220960,US,107.122.84.19,The Promise,Keri Hilson,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707231072,FALSE,,,
101,2024-02-06T14:58:34Z,ios,220960,US,107.122.84.19,The Promise,Beyoncé,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707231293,FALSE,,,
102,2024-02-06T15:02:16Z,ios,220960,US,107.122.84.19,The Promise,Kacey Musgraves,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707231515,FALSE,,,
103,2024-02-06T15:05:57Z,ios,220960,US,107.122.84.19,The Promise,Taylor Swift,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707231736,FALSE,,,
104,2024-02-06T15:09:38Z,ios,220960,US,107.122.84.19,The Promise,One Direction,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707231957,FALSE,,,
105,2024-02-06T15:13:19Z,ios,220960,US,107.122.84.19,The Promise,Julieta Venegas,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707232179,FALSE,,,
106,2024-02-06T15:17:01Z,ios,220960,US,107.122.84.19,The Promise,Kat Dahlia,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707232400,FALSE,,,
107,2024-02-06T15:20:43Z,ios,220960,US,107.122.84.19,The Promise,Sam Cooke,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707232622,FALSE,,,
108,2024-02-06T15:24:24Z,ios,220960,US,107.122.84.19,The Promise,Frank Ocean,When In Rome,spotify:track:48p5E25cFPanxuwCTmTpuL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707232843,FALSE,,,
